iter	Passed	Remaining
984	9241	140
985	9247	131
986	9252	121
987	9258	112
988	9263	103
989	9269	93
990	9274	84
991	9280	74
992	9286	65
993	9293	56
994	9303	46
995	9308	37
996	9314	28
997	9319	18
998	9325	9
999	9330	0
